Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ , Opioid Drug Flag , Antibiotic Drug Flag , High Risk Medication (HRM) Drug Flag , Antipsychotic Drug Flag 
1ST TIER UNIFINE PENTIPS ,"NEEDLES, INSULIN DISPOSABLE ",1343,4412,6375.6,95296.72,1632,  ,3216,4701.4,68596.80,  ,1166,N ,N ,N ,N 
8-MOP ,METHOXSALEN ,,14,14,19590.75,,* ,,,,* ,,N ,N ,N ,N 
A-HYDROCORT ,HYDROCORTISONE SOD SUCCINATE ,,14,14,128.48,,# ,,,,# ,,N ,N ,N ,N 
A-METHAPRED ,METHYLPREDNISOLONE SOD SUCC ,39,74,74.5,1146.57,59,  ,62,62,902.05,  ,47,N ,N ,N ,N 
ABACAVIR ,ABACAVIR SULFATE ,5066,59120,64279.4,26922432.05,8359,  ,13805,15570.8,6520654.48,  ,1939,N ,N ,N ,N 
ABACAVIR-LAMIVUDINE-ZIDOVUDINE ,ABACAVIR/LAMIVUDINE/ZIDOVUDINE ,49,49,59,78230.03,49,  ,15,17,22265.35,  ,15,N ,N ,N ,N 
ABELCET ,AMPHOTERICIN B LIPID COMPLEX ,71,435,445.6,582002.93,130,  ,250,253.2,317662.84,  ,74,N ,N ,N ,N 
ABILIFY ,ARIPIPRAZOLE ,127013,2885872,3104893.7,2106381955.00,396632,  ,948999,1038673,589418465.45,  ,126087,N ,N ,N ,Y 
ABILIFY DISCMELT ,ARIPIPRAZOLE ,1050,5033,5211.9,5221987.76,967,  ,1294,1336,1099436.21,  ,225,N ,N ,N ,Y 
ABILIFY MAINTENA ,ARIPIPRAZOLE ,2448,14690,14756.6,21273363.87,3985,  ,905,905.2,1262063.46,  ,249,N ,N ,N ,Y 
