Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ ,Aggregate Cost Share for Beneficiaries with Low Income Subsidy,Aggregate Cost Share for Beneficiaries with No Low Income Subsidy, Opioid Drug Flag ,Extended-Release Opioid Drug Flag, Antibiotic Drug Flag , Antipsychotic Drug Flag 
1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",2832,8913,14253.8,216273.87,3428,,6665,10961.8,160300.93,,2599,9209.09,44253.44,N,N,N,N
1ST TIER UNIFINE PENTIPS PLUS,"PEN NEEDLE, DIABETIC",5048,14610,25998.3,378040.97,6564,,11088,20230.7,285670.63,,5023,12805.19,83730.89,N,N,N,N
ABACAVIR,ABACAVIR SULFATE,5650,66707,73303.6,19384433.39,9007,,22814,26105,6750386.75,,3034,41654.01,406354.27,N,N,N,N
ABACAVIR-LAMIVUDINE,ABACAVIR SULFATE/LAMIVUDINE,3257,13903,14875.2,14752760.25,6629,,4538,5060.3,4949203.56,,2184,2751.36,92745.45,N,N,N,N
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,1270,9768,10378.4,12787721.57,1333,,3463,3835.8,4681177.83,,480,21947.69,324389.79,N,N,N,N
ABELCET,AMPHOTERICIN B LIPID COMPLEX,55,476,491.7,752938.84,140,,315,325.3,446059.73,,90,1518.61,47931.39,N,N,N,N
ABILIFY,ARIPIPRAZOLE,25104,97622,103305.2,92458596.49,39251,,28897,31117,23490892.13,,10697,287845.57,1688515.64,N,N,N,Y
ABILIFY DISCMELT,ARIPIPRAZOLE,41,68,73.8,67710.22,38,,25,30.8,24994.16,,11,345.58,981.54,N,N,N,Y
ABILIFY MAINTENA,ARIPIPRAZOLE,9851,116203,116638.9,201813988.41,17152,,9644,9680.2,16463876.17,,1526,289459.18,546588.71,N,N,N,Y
ABRAXANE,PACLITAXEL PROTEIN-BOUND,158,890,893.1,5472304.71,247,,720,723.1,4456288.41,,206,7276.82,159557.50,N,N,N,N
ABSORICA,ISOTRETINOIN,94,179,179.0,273335.55,88,,63,63,89260.73,,36,535.36,21276.13,N,N,N,N
ABSTRAL,FENTANYL CITRATE,126,824,833.3,8450174.33,168,,315,318.8,2835625.34,,74,12447.18,173754.71,Y,N,N,N
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,8471,31091,34486.7,4643636.52,9481,,10577,12565.5,1647690.11,,3467,35279.41,435945.27,N,N,N,N
ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,345,630,706.0,293488.75,354,,355,400.7,162386.20,,225,981.22,30672.57,N,N,N,N
ACARBOSE,ACARBOSE,24076,204381,315552.3,10311037.87,41956,,173533,274382.8,8957368.33,,35847,138796.78,1978711.20,N,N,N,N
ACCOLATE,ZAFIRLUKAST,339,1384,2053.1,441695.88,310,,1101,1638.1,352724.17,,248,2491.81,63603.79,N,N,N,N
ACCUPRIL,QUINAPRIL HCL,1912,8190,16923.8,2142107.96,1749,,7921,16456.4,2076936.57,,1697,6083.12,285227.89,N,N,N,N
ACCURETIC,QUINAPRIL/HYDROCHLOROTHIAZIDE,288,961,2421.2,282084.23,252,,942,2377.2,276338.26,#,,228.20,20855.45,N,N,N,N
ACEBUTOLOL HCL,ACEBUTOLOL HCL,18974,119479,230777.1,3701066.94,23184,,110888,217681.7,3482432.32,,21671,40400.75,1831662.13,N,N,N,N
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,387735,3685703,3747904.5,48829331.50,1707973,,2720182,2773649.3,35925594.20,,1311724,1472578.11,10521859.79,Y,N,N,N
ACETASOL HC,HYDROCORTISONE/ACETIC ACID,270,374,387.5,44388.51,306,,298,311.2,35655.55,,250,147.48,5219.11,N,N,N,N
ACETAZOLAMIDE,ACETAZOLAMIDE,57571,307980,378923.0,36340491.22,107888,,228972,283419.4,24378049.39,,90106,212442.74,3896958.72,N,N,N,N
ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,,29,29.0,31075.43,,*,,,,*,,1.20,0.00,N,N,N,N
ACETIC ACID,ACETIC ACID,18044,60052,63062.6,1286483.42,31564,,44202,46567.5,946547.07,,24978,21994.55,224319.91,N,N,N,N
ACETIC ACID-ALUMINUM,ACETIC ACID/ALUMINUM ACETATE,2017,4454,6011.5,254673.41,3335,,3252,4454.7,184846.19,,2645,2020.72,45589.72,N,N,N,N
ACETYLCYSTEINE,ACETYLCYSTEINE,5193,28345,28522.4,1740606.01,7687,,20870,21004.1,1227277.02,,6214,5488.56,92491.36,N,N,N,N
ACIPHEX,RABEPRAZOLE SODIUM,5967,28180,47118.7,27852958.88,5503,,23125,39878.9,22939527.01,,4672,44902.98,1886381.75,N,N,N,N
ACIPHEX SPRINKLE,RABEPRAZOLE SODIUM,65,201,247.0,187346.18,60,,126,162.5,125739.40,,45,265.62,9421.18,N,N,N,N
ACITRETIN,ACITRETIN,5780,36503,42423.3,27625972.63,7934,,27286,32702.7,20539853.96,,6228,41292.88,2151457.63,N,N,N,N
ACTEMRA,TOCILIZUMAB,2059,22165,24002.7,61489156.80,3499,,11604,12749.6,31418802.58,,1761,43496.96,1041948.82,N,N,N,N
ACTHIB,HAEMOPH B POLY CONJ-TET TOX/PF,235,292,294.0,11731.27,265,,245,247,10035.77,,223,189.01,4878.64,N,N,N,N
ACTIGALL,URSODIOL,187,753,1226.1,784865.18,157,,638,1082.9,696852.41,,135,570.51,80171.27,N,N,N,N
ACTIMMUNE,"INTERFERON GAMMA-1B,RECOMB.",56,452,452.8,22560662.62,64,,238,238.8,12435773.31,,36,124.60,293826.27,N,N,N,N
ACTIQ,FENTANYL CITRATE,22,174,174.0,2808034.30,19,,81,81,975167.52,*,,56.41,17637.41,Y,N,N,N
ACTIVELLA,ESTRADIOL/NORETHINDRONE ACET,432,1967,2871.4,616382.24,409,,1602,2418.2,519733.79,,343,1531.85,167863.09,N,N,N,N
ACTONEL,RISEDRONATE SODIUM,5681,22134,33174.7,8750487.07,5951,,20970,31640.6,8349775.47,,5611,38872.85,1175921.59,N,N,N,N
ACTOPLUS MET,PIOGLITAZONE HCL/METFORMIN HCL,233,953,1508.4,734156.55,216,,883,1369.3,662834.02,,191,1101.24,42709.15,N,N,N,N
ACTOPLUS MET XR,PIOGLITAZONE HCL/METFORMIN HCL,748,2976,5519.5,2754835.69,732,,2595,4937.9,2447069.35,,632,2071.71,199192.25,N,N,N,N
ACTOS,PIOGLITAZONE HCL,1149,4711,7947.0,3850687.67,1055,,4178,7131.9,3423607.89,,925,7363.51,269530.37,N,N,N,N
ACULAR,KETOROLAC TROMETHAMINE,182,439,508.8,107631.23,204,,404,463.5,100871.55,,180,700.48,12363.70,N,N,N,N
ACULAR LS,KETOROLAC TROMETHAMINE,158,347,401.0,91009.22,161,,331,378.9,83363.66,#,,314.91,16401.72,N,N,N,N
ACUVAIL,KETOROLAC TROMETHAMINE/PF,357,1320,1521.4,481254.14,630,,1228,1408.7,442281.23,,585,1652.71,86616.93,N,N,N,N
ACYCLOVIR,ACYCLOVIR,270163,1696990,2235985.5,66510565.05,661572,,1267577,1719866.5,50137440.07,,520369,574838.60,9694009.84,N,N,N,N
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,185,486,486.0,94800.25,182,,381,381,66751.80,,139,784.12,18454.86,N,N,N,N
ACZONE,DAPSONE,1921,4152,4820.4,2101852.05,2208,,2291,2750.4,1168739.50,,1349,5441.67,195941.92,N,N,N,N
ADACEL TDAP,"DIPH,PERTUSS(ACELL),TET VAC/PF",39682,167756,168209.4,10029180.74,167129,,144598,145000.3,8645909.08,,144078,169418.53,3950332.53,N,N,N,N
ADAGEN,PEGADEMASE BOVINE,,13,13.0,1523227.60,,,0,0,0.00,,0,3.60,0.00,N,N,N,N
ADALAT CC,NIFEDIPINE,450,1925,3312.6,242997.71,400,,1807,3142.6,228407.14,,367,2532.83,81957.26,N,N,N,N
ADAPALENE,ADAPALENE,4369,9633,10416.9,1490232.21,5212,,4340,4891.2,689173.04,,2695,7051.41,145415.27,N,N,N,N
ADCIRCA,TADALAFIL,4111,89381,97668.7,275975645.54,10987,,61870,68188.3,191788232.83,,7646,273979.10,13831552.19,N,N,N,N
ADDERALL,DEXTROAMPHETAMINE/AMPHETAMINE,1618,6708,7116.8,2655773.80,1332,,1820,2005.3,707888.79,,383,11703.91,154289.27,N,N,N,N
ADDERALL XR,DEXTROAMPHETAMINE/AMPHETAMINE,6375,27183,35317.5,8986633.69,6222,,8950,13915.2,2907051.51,,2064,58844.99,521308.67,N,N,N,N
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,1020,6440,8324.4,6185377.12,938,,4303,5953.3,4394282.16,,664,11723.33,315365.72,N,N,N,N
ADEMPAS,RIOCIGUAT,1072,21372,21416.2,184359665.55,2782,,15466,15508.2,133612081.70,,2024,115252.33,6816771.53,N,N,N,N
ADRENALIN,EPINEPHRINE,135,199,201.0,3072.26,173,,145,147,2290.10,,123,109.35,1219.25,N,N,N,N
ADRUCIL,FLUOROURACIL,44,151,151.0,4998.21,58,,138,138,4665.12,#,,36.68,848.33,N,N,N,N
ADVAIR DISKUS,FLUTICASONE/SALMETEROL,275442,5194391,6729916.9,2319808482.00,1196007,,4098668,5427887.7,1852890233.80,,950168,11521801.44,202650274.25,N,N,N,N
ADVAIR HFA,FLUTICASONE/SALMETEROL,68519,423049,535035.4,191507091.60,114060,,319055,410936.7,145872054.82,,86677,919246.58,16243258.45,N,N,N,N
ADVICOR,NIACIN/LOVASTATIN,1044,1811,3123.1,722088.84,1054,,1728,3020.6,697705.08,,1013,1109.19,145232.27,N,N,N,N
ADVOCATE PEN NEEDLES,"PEN NEEDLE, DIABETIC",1967,7136,10696.9,370531.37,2469,,4445,6957.2,230429.31,,1624,10117.97,25190.89,N,N,N,N
ADVOCATE SYRINGES,"SYRING-NEEDL,DISP,INSUL,0.3 ML",371,1469,1933.0,58159.52,524,,1077,1425.6,39963.93,,396,1077.23,3572.47,N,N,N,N
ADVOCATE SYRINGES,"SYRINGE AND NEEDLE,INSULIN,1ML",727,3213,4111.2,142271.90,952,,2052,2727.3,89582.10,,636,2247.14,7413.96,N,N,N,N
ADVOCATE SYRINGES,"SYRINGE-NEEDLE,INSULIN,0.5 ML",740,3442,4317.7,137847.29,1053,,2434,3109.9,96162.92,,758,2533.48,9298.99,N,N,N,N
ADZENYS XR-ODT,AMPHETAMINE,58,136,139.0,38792.72,70,,35,35,9271.86,,19,259.09,4493.85,N,N,N,N
AEROSPAN,FLUNISOLIDE,1303,3335,4310.0,819513.88,1545,,2568,3435.9,649977.53,,1115,5543.64,132735.05,N,N,N,N
AFEDITAB CR,NIFEDIPINE,8641,34111,48431.9,929651.47,10155,,29028,42004.8,792189.44,,8485,22377.90,235450.43,N,N,N,N
AFINITOR,EVEROLIMUS,4460,28927,29372.8,348463087.05,5962,,21651,22006.3,259500370.54,,4633,213376.47,12484835.74,N,N,N,N
AFINITOR DISPERZ,EVEROLIMUS,28,79,79.0,2260208.15,25,,46,46,1192631.89,#,,26.13,13832.84,N,N,N,N
AFREZZA,"INSULIN REGULAR, HUMAN",610,2847,3616.4,1355377.45,720,,2088,2706.8,965255.16,,524,5042.58,141866.47,N,N,N,N
AGGRENOX,ASPIRIN/DIPYRIDAMOLE,27472,171780,215513.0,89830469.35,29068,,149360,187910.4,77928184.44,,25280,287062.79,6045079.86,N,N,N,N
AGRYLIN,ANAGRELIDE HCL,455,1207,1519.5,940637.06,455,,1126,1427.5,868573.20,,424,2829.56,108844.58,N,N,N,N
AK-POLY-BAC,BACITRACIN/POLYMYXIN B SULFATE,1454,2493,2502.4,43222.79,1854,,2085,2090.8,35205.79,,1592,1114.87,11983.11,N,N,N,N
AKTEN,LIDOCAINE HCL/PF,25,33,33.3,2600.44,24,,19,19.2,767.18,#,,7.20,477.51,N,N,N,N
AKYNZEO,NETUPITANT/PALONOSETRON HCL,155,693,693.4,565781.03,242,,534,534.4,440893.25,,187,875.04,34546.55,N,N,N,N
ALA-CORT,HYDROCORTISONE,28,32,36.9,2305.95,28,#,,,,#,,5.84,194.02,N,N,N,N
ALA-SCALP,HYDROCORTISONE,98,130,132.0,46655.03,99,,100,102,36053.78,,75,74.65,3039.97,N,N,N,N
ALBENZA,ALBENDAZOLE,4433,6055,6082.5,10225719.04,4538,,3615,3637.6,5247683.93,,2786,11232.66,369397.39,N,N,N,N
ALBUMIN (HUMAN),ALBUMIN HUMAN,,43,43.0,17916.24,,,21,21,10584.41,*,,10.80,8.00,N,N,N,N
ALBUTEIN,ALBUMIN HUMAN,13,94,94.0,22997.55,13,,61,61,11456.08,*,,46.80,1479.28,N,N,N,N
ALBUTEROL SULFATE,ALBUTEROL SULFATE,63694,685566,714296.3,27074634.91,229435,,570034,594063.3,21168437.95,,195682,183954.78,1685512.29,N,N,N,N
